block_seq_num,block_var_num,block_route_num,block_run_num
5906508,1,12,1
5906509,1,12,2
5906510,1,12,3
5906511,1,12,5
5906512,1,12,4
5906513,1,12,6
5906514,1,12,7
5906515,1,12,8
5906516,1,12,9
5906517,1,12,10
5906518,1,36,1
5906519,1,36,2
5906520,1,36,3
5906521,1,36,6
5906522,1,36,8
5906523,1,36,9
5906524,1,36,10
5906525,1,36,11
5906526,1,36,12
5906527,1,36,13
5906528,1,36,14
5906529,1,36,17
5906530,1,36,19
5906531,1,36,21
5906532,1,36,23
5906533,1,36,4
5906534,1,36,7
5906535,1,36,20
5906536,1,36,15
5906537,1,36,16
5906538,1,36,22
5906539,1,2,3
5906540,1,2,2
5906541,1,2,4
5906542,1,2,5
5906543,1,2,6
5906544,1,2,7
5906545,1,2,8
5906546,1,2,10
5906547,1,2,9
5906548,1,2,11
5906549,1,2,13
5906550,1,2,15
5906551,1,2,17
5906552,1,2,19
5906553,1,2,12
5906554,1,2,16
5906555,1,70,2
5906556,1,70,1
5906557,1,36,18
5906558,1,36,5
5906559,1,44,9
5906560,1,44,12
5906561,1,44,1
5906562,1,44,2
5906563,1,44,4
5906564,1,44,10
5906565,1,44,14
5906566,1,44,15
5906567,1,44,17
5906568,1,44,18
5906569,1,44,24
5906570,1,7,28
5906571,1,7,27
5906572,1,7,26
5906573,1,7,29
5906574,1,7,23
5906575,1,7,25
5906576,1,7,24
5906577,1,7,21
5906578,1,7,22
5906579,1,7,17
5906580,1,7,18
5906581,1,7,20
5906582,1,7,15
5906583,1,7,12
5906584,1,7,14
5906585,1,7,11
5906586,1,7,10
5906587,1,7,9
5906588,1,7,8
5906589,1,7,7
5906590,1,7,6
5906591,1,7,4
5906592,1,7,3
5906593,1,7,2
5906594,1,7,5
5906595,1,7,16
5906596,1,7,1
5906597,1,2,20
5906598,1,70,3
5906599,1,70,4
5906600,1,70,7
5906601,1,70,8
5906602,1,70,9
5906603,1,70,10
5906604,1,70,11
5906605,1,70,5
5906606,1,70,17
5906607,1,70,19
5906608,1,70,12
5906609,1,70,15
5906610,1,44,21
5906611,1,70,16
5906612,1,44,20
5906613,1,2,14
5906614,1,2,18
5906615,1,2,1
5906616,1,3,1
5906617,1,3,2
5906618,1,3,3
5906619,1,3,5
5906620,1,3,17
5906621,1,3,7
5906622,1,3,8
5906623,1,3,9
5906624,1,3,11
5906625,1,3,13
5906626,1,3,14
5906627,1,3,15
5906628,1,3,18
5906629,1,3,19
5906630,1,3,20
5906631,1,1,1
5906632,1,1,2
5906633,1,1,3
5906634,1,1,4
5906635,1,1,5
5906636,1,1,6
5906637,1,1,7
5906638,1,1,9
5906639,1,1,8
5906640,1,1,11
5906641,1,1,12
5906642,1,673,47
5906643,1,673,50
5906644,1,673,2
5906645,1,673,3
5906646,1,673,4
5906647,1,673,5
5906648,1,673,6
5906649,1,673,7
5906650,1,673,8
5906651,1,673,9
5906652,1,673,10
5906653,1,673,13
5906654,1,673,14
5906655,1,673,15
5906656,1,673,16
5906657,1,673,17
5906658,1,673,18
5906659,1,673,20
5906660,1,673,21
5906661,1,673,22
5906662,1,673,23
5906663,1,673,24
5906664,1,673,26
5906665,1,673,27
5906666,1,673,29
5906667,1,673,30
5906668,1,673,32
5906669,1,673,33
5906670,1,673,34
5906671,1,673,35
5906672,1,673,38
5906673,1,673,39
5906674,1,673,40
5906675,1,673,41
5906676,1,673,43
5906677,1,673,44
5906678,1,673,45
5906679,1,673,46
5906680,1,673,12
5906681,1,673,28
5906682,1,673,36
5906683,1,1,10
5906684,1,44,11
5906685,1,44,22
5906686,1,44,13
5906687,1,673,31
5906688,1,70,13
5906689,1,70,14
5906690,1,3,6
5906691,1,70,18
5906692,1,44,23
5906693,1,3,10
5906694,1,3,4
5906695,1,10,1
5906696,1,10,2
5906697,1,10,3
5906698,1,10,4
5906699,1,10,5
5906700,1,10,6
5906701,1,10,7
5906702,1,10,8
5906703,1,10,9
5906704,1,10,10
5906705,1,3,16
5906706,1,7,19
5906707,1,7,13
5906708,1,44,6
5906709,1,44,3
5906710,1,44,7
5906711,1,44,8
5906712,1,44,16
5906713,1,44,19
5906714,1,44,5
5906715,1,673,11
5906716,1,673,42
5906717,1,673,37
5906718,1,673,25
5906719,1,673,19
5906720,1,3,12
5906721,1,120,1
5906722,1,120,2
5906723,1,120,3
5906724,1,120,12
5906725,1,120,4
5906726,1,120,5
5906727,1,120,17
5906728,1,120,6
5906729,1,120,19
5906730,1,120,7
5906731,1,120,8
5906732,1,120,9
5906733,1,120,11
5906734,1,120,13
5906735,1,120,14
5906736,1,120,16
5906737,1,120,18
5906738,1,120,20
5906739,1,120,21
5906740,1,120,22
5906741,1,120,24
5906742,1,120,25
5906743,1,120,26
5906744,1,120,28
5906745,1,120,29
5906746,1,120,30
5906747,1,120,31
5906748,1,120,32
5906749,1,120,27
5906750,1,120,33
5906751,1,120,34
5906752,1,120,10
5906753,1,120,15
5906754,1,120,23
5906755,1,12,1
5906756,1,12,2
5906757,1,7,1
5906758,1,7,2
5906759,1,7,3
5906760,1,7,4
5906761,1,7,5
5906762,1,7,7
5906763,1,7,6
5906764,1,7,8
5906765,1,7,12
5906766,1,7,9
5906767,1,7,10
5906768,1,7,13
5906769,1,7,14
5906770,1,7,15
5906771,1,7,16
5906772,1,7,17
5906773,1,7,18
5906774,1,7,19
5906775,1,36,1
5906776,1,36,2
5906777,1,36,3
5906778,1,36,4
5906779,1,36,5
5906780,1,36,6
5906781,1,36,7
5906782,1,36,8
5906783,1,36,9
5906784,1,1,1
5906785,1,1,2
5906786,1,1,3
5906787,1,1,4
5906788,1,2,1
5906789,1,2,2
5906790,1,2,3
5906791,1,2,4
5906792,1,3,1
5906793,1,3,2
5906794,1,3,3
5906795,1,3,4
5906796,1,3,5
5906797,1,3,6
5906798,1,3,7
5906799,1,3,8
5906800,1,3,9
5906801,1,70,1
5906802,1,70,2
5906803,1,70,3
5906804,1,70,4
5906805,1,70,5
5906806,1,70,8
5906807,1,70,6
5906808,1,70,7
5906809,1,673,1
5906810,1,673,2
5906811,1,673,3
5906812,1,673,4
5906813,1,673,5
5906814,1,673,6
5906815,1,673,7
5906816,1,673,8
5906817,1,673,9
5906818,1,673,10
5906819,1,673,11
5906820,1,673,12
5906821,1,44,1
5906822,1,44,2
5906823,1,44,3
5906824,1,44,4
5906825,1,44,5
5906826,1,44,6
5906827,1,44,7
5906828,1,673,13
5906829,1,10,1
5906830,1,10,2
5906831,1,7,11
5906832,1,120,3
5906833,1,120,1
5906834,1,120,2
5906835,1,120,4
5906836,1,120,5
5906837,1,120,6
5906838,1,120,7
5906839,1,120,8
5906840,1,120,9
5906841,1,120,11
5906842,1,120,12
5906843,1,120,10
5906844,1,120,13
5906845,1,120,14
